antecedents_text,consequents_text,antecedent support,consequent support,support,confidence,lift,conviction,leverage,CF,rule
lang:typescript,topic:react,0.11173498034811903,0.06092083099382369,0.033688938798427846,0.3015075376884422,4.949169812194613,1.3444370836851012,0.026881950944541877,0.2561942748120272,lang:typescript  →  topic:react
topic:python,lang:python,0.14823133071308253,0.23638405390230208,0.09854014598540146,0.6647727272727273,2.812257071906716,2.2779051951388953,0.0635006231161102,0.5610001671122995,topic:python  →  lang:python
lang:python,topic:python,0.23638405390230208,0.14823133071308253,0.09854014598540146,0.4168646080760095,2.812257071906716,1.4606705082272597,0.0635006231161102,0.315382905064847,lang:python  →  topic:python
topic:pytorch,lang:python,0.05474452554744526,0.23638405390230208,0.03537338573834924,0.6461538461538462,2.7334916864608076,2.1580450650587117,0.022432652860485992,0.5366176470588235,topic:pytorch  →  lang:python
topic:machine-learning,topic:python,0.12436833239752948,0.14823133071308253,0.04576080853453116,0.36794582392776526,2.482240577330871,1.3476197160503733,0.027325525124678392,0.25795089809845084,topic:machine-learning  →  topic:python
topic:python,topic:machine-learning,0.14823133071308253,0.12436833239752948,0.04576080853453116,0.3087121212121212,2.4822405773308707,1.2666671794359026,0.027325525124678392,0.21052663538235838,topic:python  →  topic:machine-learning
topic:llm,lang:python,0.06625491297024144,0.23638405390230208,0.03509264458169568,0.5296610169491525,2.2406799790651792,1.623543813324835,0.01943103966284579,0.38406343469591214,topic:llm  →  lang:python
topic:deep-learning,topic:python,0.09994385176866928,0.14823133071308253,0.030881527231892195,0.30898876404494385,2.0845037453183526,1.2326408384802545,0.01606671708763128,0.18873367749772246,topic:deep-learning  →  topic:python
topic:python,topic:deep-learning,0.14823133071308253,0.09994385176866928,0.030881527231892195,0.20833333333333334,2.084503745318352,1.1369130293448388,0.01606671708763128,0.12042524433354129,topic:python  →  topic:deep-learning
topic:deep-learning,lang:python,0.09994385176866928,0.23638405390230208,0.04744525547445255,0.4747191011235955,2.0082534895513624,1.4537287529988259,0.023820122630763742,0.31211376404494384,topic:deep-learning  →  lang:python
lang:python,topic:deep-learning,0.23638405390230208,0.09994385176866928,0.04744525547445255,0.2007125890736342,2.0082534895513624,1.1260732196296888,0.023820122630763742,0.11195827893957737,lang:python  →  topic:deep-learning
topic:ai,lang:python,0.07776530039303763,0.23638405390230208,0.03481190342504211,0.44765342960288806,1.8937547698877522,1.3824942292095574,0.016429426465205593,0.2766696750902527,topic:ai  →  lang:python
topic:machine-learning,lang:python,0.12436833239752948,0.23638405390230208,0.05530600786075238,0.44469525959367945,1.8812405162383448,1.3751295289482934,0.025907317271555354,0.27279577745319344,topic:machine-learning  →  lang:python
lang:python,topic:machine-learning,0.23638405390230208,0.12436833239752948,0.05530600786075238,0.23396674584323038,1.8812405162383445,1.1430726575523722,0.025907317271555354,0.12516497232881904,lang:python  →  topic:machine-learning
